driverId,name,ssn,location,certified,wage-plan
10,Lisa Black,591-29-9509,"36898 Owen Falls
Turnerberg, NM 10972",Y,miles
11,Sandra Johnson,713-93-4226,"USNS Smith
FPO AA 91415",Y,miles
12,Justin Campbell,766-22-6311,"57916 Kelly Center
Woodsfort, SC 28837",Y,hours
13,Juan Vance,043-69-3899,"6036 Martinez Isle Suite 368
Kellytown, WI 95137",N,miles
14,Andrew Strong,875-22-8725,"3440 Christy Field
Kristinaview, WY 90304",Y,hours
15,Austin Warner,258-51-1878,"550 Burch Crescent Suite 045
Williamsland, DC 79738",N,hours
16,Maria Thompson,669-20-7632,"72994 Jessica Circle Apt. 765
Travisport, DC 85727",N,hours
17,Blake Robinson,078-10-4045,"9824 Benjamin Square Apt. 454
South Sandra, ID 62175",N,miles
18,Jennifer Webb,828-60-4166,"4954 Alvarado Spurs
Powellfurt, MD 51065",Y,hours
19,Kyle Clark,520-93-7534,"85733 Casey Flat
Morganhaven, CO 88371",N,hours
20,Carlos King,160-52-4587,"USNV Anderson
FPO AE 71702",Y,hours
21,Stacey Benson,817-47-0420,"119 Tammy Pass Apt. 856
New Dawnside, WI 30809",N,hours
22,Devon Harrison,015-71-1279,"5659 Ryan Ways
Port John, PW 93434",N,miles
23,Nicholas Cooper,367-81-4168,"5344 Donald Rest
North Kevin, OH 90075",Y,miles
24,Kayla Lewis,563-10-4848,"222 Hubbard Junctions Apt. 635
West Kennethfort, VI 80706",N,miles
25,Steven Jimenez,320-75-2612,"675 Moore Route
Santosberg, ME 39947",N,hours
26,Jessica Simmons,585-44-8244,"895 Vaughn Valleys
Atkinsonbury, NJ 75374",Y,miles
27,Brandon Pierce,551-89-4063,"2292 Monica Ferry Apt. 223
Reedside, GA 96900",N,miles
28,Amanda King,409-15-5836,"USCGC Richmond
FPO AA 63001",N,miles
29,Stephanie Brewer,277-15-7678,"0627 Rollins Ferry
Lake Jesusport, NE 18492",Y,miles
30,Karen Ball,862-35-0699,"PSC 9800, Box 4191
APO AP 19233",N,hours
31,Richard Daniels,550-94-2762,"163 Erickson Valleys Apt. 641
Lake Williamshire, NY 61618",Y,miles
32,Michael Walker,189-16-4843,"37241 Maria Spur
Thomasfort, PR 18967",N,miles
33,Nina Rodriguez,186-25-8343,"2308 Phillips Well Apt. 844
New Michael, MT 30030",N,miles
34,Yvonne Wood,822-20-2353,"537 Wyatt Land
Aliciamouth, RI 63732",N,miles
35,Lori Brock,790-48-4680,"91365 Jared Center
Emilybury, WI 84806",N,hours
36,Marcia Higgins,715-96-3298,"39383 Michael Fort Apt. 378
Richardsonfurt, MS 06856",N,hours
37,Haley Garcia,141-74-9796,"331 Kevin Isle Apt. 570
Port Austin, UT 32172",N,miles
38,Lori Hodges,438-22-9987,"52260 Ray Station Apt. 252
East Jeffreyfort, NV 01876",N,miles
39,Timothy Roach,121-36-6353,"2268 Stephanie Port Apt. 618
Davisland, VT 74178",Y,hours
40,Tracie Ayala,762-08-0046,"02213 Tanner Crossing
Port Michael, MI 25458",Y,miles
41,Mary Frederick,645-86-8630,"67341 Danielle Turnpike Apt. 849
East Susan, MH 19663",Y,hours
42,Angela Garcia,404-46-8164,"388 Craig Course Apt. 616
Port Jonathan, FM 56834",N,hours
